s,prefL,alts,group
http://ec.europa.eu/esco/occupation/21314,Secretary (tourist information office),Tourist secretary,http://ec.europa.eu/esco/isco2008/Concept/C4221
http://ec.europa.eu/esco/occupation/19131,Service manager (air traffic),"Service manager, air traffic",http://ec.europa.eu/esco/isco2008/Concept/C4221
http://ec.europa.eu/esco/occupation/20375,Serving assistant,Waiter's assistant,http://ec.europa.eu/esco/isco2008/Concept/C5131
http://ec.europa.eu/esco/occupation/21690,Sewage worker,,http://ec.europa.eu/esco/isco2008/Concept/C9613
http://ec.europa.eu/esco/occupation/19288,Ship host/hostess,Ship hostess,http://ec.europa.eu/esco/isco2008/Concept/C5111
http://ec.europa.eu/esco/occupation/17657,Ship-broker,Shipbroker,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/15463,Shipping agent (business services agents and trade brokers),Liner's agent,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/15477,Shipping company agent,,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/15476,Shipping master,,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/15457,Shipping planner,,http://ec.europa.eu/esco/isco2008/Concept/C3339
http://ec.europa.eu/esco/occupation/19080,Shop cashier,,http://ec.europa.eu/esco/isco2008/Concept/C5230
http://ec.europa.eu/esco/occupation/15718,Sightseeing guide,,http://ec.europa.eu/esco/isco2008/Concept/C5113
http://ec.europa.eu/esco/occupation/23749,Sign language interpreter,,http://ec.europa.eu/esco/isco2008/Concept/C2643
http://ec.europa.eu/esco/occupation/21623,Snow-clearing worker,,http://ec.europa.eu/esco/isco2008/Concept/C9622
http://ec.europa.eu/esco/occupation/14334,Social anthropologist,,http://ec.europa.eu/esco/isco2008/Concept/C2632
http://ec.europa.eu/esco/occupation/22453,Sociologist,,http://ec.europa.eu/esco/isco2008/Concept/C2632
http://ec.europa.eu/esco/occupation/21466,Sommelier,,http://ec.europa.eu/esco/isco2008/Concept/C5131
